sysfiletype_id,sysfiletype_name,sysfiletype_extension,sysfiletype_category,sysfiletype_os,sysfiletype_binary_text,sysfiletype_user_editable,sysfiletype_criticality,sysfiletype_description,sysfiletype_typical_location
1,Kernel Mode Driver,.sys,Driver,Windows,Binary,No,Critical,Core driver executable that runs in kernel mode with highest system privileges. Contains device driver code.,C:\Windows\System32\drivers\
2,Setup Information File,.inf,Driver,Windows,Text,Yes,High,"Plain text file containing driver installation instructions, hardware IDs, registry settings, and file locations. Required for all driver packages.",C:\Windows\INF\
3,Precompiled INF,.pnf,Driver,Windows,Binary,No,Medium,Binary version of INF file created by Windows during driver installation. Provides faster parsing than text INF files.,C:\Windows\INF\
4,Catalog File,.cat,Security,Windows,Binary,No,High,Digital signature file containing cryptographic hashes of all files in a driver package. Used to verify authenticity and integrity.,C:\Windows\System32\CatRoot\
5,Dynamic Link Library,.dll,Library,Windows,Binary,No,Critical,Shared library containing reusable code and resources. Can be loaded by multiple programs simultaneously to save memory.,C:\Windows\System32\
6,Executable File,.exe,Executable,Windows,Binary,No,High,Portable Executable format. Main executable program file for Windows applications.,C:\Program Files\
7,Control Panel Applet,.cpl,Configuration,Windows,Binary,No,Medium,Special DLL file that provides Control Panel functionality. Double-clicking opens specific Control Panel settings.,C:\Windows\System32\
8,Microsoft Installer Package,.msi,Installation,Windows,Binary,No,Low,"Windows Installer package format. Contains installation instructions, files, and configuration for software deployment.",Various
9,Windows Installer Patch,.msp,Installation,Windows,Binary,No,Low,Patch file for MSI packages. Contains updates and fixes to previously installed software.,Various
10,Managed Object Format,.mof,Management,Windows,Text,Yes,Medium,WMI schema definition file. Describes management classes and instances for Windows Management Instrumentation.,C:\Windows\System32\wbem\
11,Multilingual User Interface,.mui,Localization,Windows,Binary,No,Low,Resource-only DLL containing localized strings and resources for different languages. Enables multilingual support.,C:\Windows\System32\en-US\
12,Registry Hive File,.dat,Registry,Windows,Binary,No,Critical,Binary file containing a portion of the Windows Registry. Contains system and user configuration data.,C:\Windows\System32\config\
13,Registry File,.reg,Registry,Windows,Text,Yes,Medium,Text file containing registry keys and values. Can be imported to modify the Windows Registry.,Various
14,Task Sequence,.ts,Configuration,Windows,Binary,No,Medium,Task Scheduler task definition. Contains scheduling information and actions to be performed.,C:\Windows\System32\Tasks\
15,Device Driver,.drv,Driver,Windows,Binary,No,Critical,Older 16-bit or 32-bit driver format. Legacy driver type from Windows 3.x/9x era.,C:\Windows\System32\
16,Virtual Device Driver,.vxd,Driver,Windows,Binary,No,Critical,"Virtual device driver for Windows 9x/ME. Legacy 32-bit driver format, not used in NT-based Windows.",C:\Windows\System32\
17,OCX Control,.ocx,Component,Windows,Binary,No,Medium,ActiveX control library. Provides GUI components and functionality for applications.,C:\Windows\System32\
18,Type Library,.tlb,Component,Windows,Binary,No,Medium,COM type library containing descriptions of types exposed by ActiveX components.,C:\Windows\System32\
19,Screen Saver,.scr,Display,Windows,Binary,No,Low,Executable screen saver program. Special type of EXE that can be configured in Display settings.,C:\Windows\System32\
20,Font File,.ttf,Font,Windows,Binary,No,Low,TrueType font file. Contains scalable font outline data.,C:\Windows\Fonts\
21,OpenType Font,.otf,Font,Windows,Binary,No,Low,OpenType font format. Enhanced font format supporting advanced typography features.,C:\Windows\Fonts\
22,Composite Font,.ttc,Font,Windows,Binary,No,Low,TrueType Collection. Single file containing multiple TrueType fonts.,C:\Windows\Fonts\
23,Bitmap Font,.fon,Font,Windows,Binary,No,Low,Legacy bitmap font format. Non-scalable font used in older Windows versions.,C:\Windows\Fonts\
24,Cursor File,.cur,Display,Windows,Binary,No,Low,Windows cursor image file. Defines appearance of mouse pointer.,C:\Windows\Cursors\
25,Animated Cursor,.ani,Display,Windows,Binary,No,Low,Animated cursor file. Contains multiple frames for animated mouse pointer.,C:\Windows\Cursors\
26,Icon File,.ico,Display,Windows,Binary,No,Low,Windows icon file. Contains small images at multiple resolutions for application icons.,Various
27,Help File,.hlp,Documentation,Windows,Binary,No,Low,WinHelp format help file. Legacy help system from Windows 3.x/9x era.,Various
